neighbourhood_cleansed,room_type,minimum_nights,count,mean,std,min,25%,50%,75%,max,mode
Nørrebro,Entire home/apt,1111,1.0,950.0,,950.0,950.0,950.0,950.0,950.0,950.0
Nørrebro,Private room,1,40.0,615.4,403.35966008590316,79.0,402.25,500.0,637.5,2000.0,500.0
Nørrebro,Private room,2,52.0,798.3269230769231,1251.4846198698324,250.0,423.25,525.0,750.0,8400.0,500.0
Nørrebro,Private room,3,24.0,580.75,201.07001808801093,300.0,418.75,585.5,694.25,1000.0,650.0
Nørrebro,Private room,4,15.0,507.4,234.86372948706114,269.0,333.0,493.0,575.0,1143.0,269.0
Nørrebro,Private room,5,6.0,791.8333333333334,597.7967603347032,290.0,453.5,657.0,772.75,1950.0,290.0
Nørrebro,Private room,6,1.0,514.0,,514.0,514.0,514.0,514.0,514.0,514.0
Nørrebro,Private room,7,8.0,799.375,494.7102867913127,457.0,537.5,619.0,775.0,1950.0,457.0
Nørrebro,Private room,8,2.0,560.0,53.74011537017761,522.0,541.0,560.0,579.0,598.0,522.0
Nørrebro,Private room,10,2.0,522.5,243.9518395093589,350.0,436.25,522.5,608.75,695.0,350.0
Nørrebro,Private room,14,3.0,416.6666666666667,194.1863366288507,200.0,337.5,475.0,525.0,575.0,200.0
Nørrebro,Private room,17,1.0,325.0,,325.0,325.0,325.0,325.0,325.0,325.0
Nørrebro,Private room,20,1.0,270.0,,270.0,270.0,270.0,270.0,270.0,270.0
Nørrebro,Private room,21,2.0,600.0,70.71067811865476,550.0,575.0,600.0,625.0,650.0,550.0
Nørrebro,Private room,30,5.0,278.6,45.40154182403941,210.0,267.0,284.0,299.0,333.0,210.0
Nørrebro,Private room,31,1.0,399.0,,399.0,399.0,399.0,399.0,399.0,399.0
Nørrebro,Private room,60,1.0,480.0,,480.0,480.0,480.0,480.0,480.0,480.0
